program,class_name,confidence,primary_vtable_id,constructor,destructor,scalar_deleting_destructor,minimum_size,base_classes,base_name_origin,source_path,evidence,layout_proof
wiz8,Octree,strong,,,,,0x18c,,,Engine Code\Octree.cpp,"Named by the message column of evidence/observations/wiz8/assertions.csv at sites 0042e471 and 0042e4f1 ('Too many props/particles loaded for Octree'); seven fields byte-proven at 0x0c4, 0x0f8, 0x114, 0x118, 0x11c, 0x11e and 0x188, with the loaded counters UINT16 and the totals UINT32 exactly as the assertion casts say; no vtable, constructor or destructor identified yet, so the minimum size is only the extent the proven fields require",0042e440 Octree::AddLoadedProp; 0042e4c0 Octree::AddLoadedParticle
wiz8,VirtualFileBinIStream,strong,VirtualFileBinIStream.primary,0047cbd0,,,0x20,srBinIStream (virtual base srBinStream at +0x10),original-export,,"Installs the imported ??_7srBinIStream@@6B0@@ and ??_7srBinIStream@@6BsrBinStream@@@ base vftables then overwrites both with its own; vbptr at +4 selects vbtable 0x005ec6a8 whose entries -4 and 12 place the virtual srBinStream subobject at +0x10, matching the lea ecx,[esi+0x10] base construction; its sole caller allocates exactly 0x20 bytes; stores an OpenVirtualFile (0x00404c80) handle at +8, so it adapts the SurRender stream hierarchy to the SLF virtual file system; the handle at +8 is byte-proven by primary slot 1, which reads it and passes it to ReadVirtualFile",0047d5c0 VirtualFileBinIStream::Read (handle at +8)
wiz8,W8IList,exact,,,,,0x0c,,,3D Code\IList.cpp,"All nine source-owned IList functions agree on data at 0x00, capacity at 0x04 and count at 0x08; Create allocates exactly 0x0c bytes",005e2900-005e2cc0 IList API
wiz8,W8GrowableVector<int>,strong,W8GrowableVector<int>.primary,,,00446130,0x10,,descriptive,,This is the candidate-index instantiation of the shared growable-vector template. The byte-exact grower proves count capacity and data at +0x04/+0x08/+0x0c; GenerateItemsFromTable installs vtable 0x005ec0e0 and allocates five four-byte slots; a direct xref to 0x005ec0e4 proves that the adjacent code pointer starts another vtable rather than slot 1,004addf0 exact grower; 004f88f0 embedded construction; 00446130 scalar deleting destructor
wiz8,W8GrowableVector<W8WorldItem *>,strong,,,,,0x10,,descriptive,,Output specialization used by GenerateItemsFromTable. Its inlined Add accesses count capacity and data at +0x04/+0x08/+0x0c and calls the same folded four-byte Grow body as the candidate-index specialization; the function does not expose this specialization's vtable address,004f88f0 typed output parameter and inlined Add
wiz8,W8MonsterManagerEntry,exact,,004e6a30,004e6a10,,0x118,,,Local Code\MonsterManager.cpp,The outer state constructor passes an eight-element array with stride 0x118 to the VC6 vector-constructor iterator; the element constructor and destructor prove the polymorphic pointer-vector storage at 0xd8,004e6940-004e6a30 constructor and destructor cluster
wiz8,W8MonsterGroup,exact,,,,,0x12b,,,Local Code\MonsterGroup.cpp,LoadMonsterGroup allocates reads and version-fixes exactly 0x12b bytes; the GroupIndex and GroupInfo lookup pair prove group_id at +0x00 and the member list at +0x08 while group removal and the active-member recount establish both counters,00513c20 LoadMonsterGroup; 005100b0-00510350 group lookup and recount cluster
wiz8,W8MonsterInfo,exact,,,,,0x425,,,Local Code\MonsterManager.cpp,The creator at 0x004e3930 allocates and zeroes exactly 0x425 bytes; the lookup cluster proves the identifier at 0x00 database species ID at 0x08 and live Monster pointer at 0x0c; exact 0x004e5c00 adds typed gates at 0x14 0x9f and 0x2da plus the byte at 0x253; the official demo names the exact 0x004e60b0 field at 0x24e motionless; exact 0x004e6020 proves the MonsterGroup ID at 0x04 and control state at 0x2fd; exact 0x004e5a50 and 0x004e5d00 prove the unaligned values and attribute arrays; exact 0x004e5ea0 and 0x004e6020 prove the byte at 0x255,004e3930 allocation and 004e5550-004e6020 typed consumers
wiz8,W8ScreenRect,exact,,,,,0x10,,,Local Code\UtilityFunctions.cpp,Exact 0x00517e20 and 0x00517e70 jointly prove four signed 32-bit edges in left top right bottom order,00517e20 UnionScreenRects and 00517e70 ScreenPointInRect
wiz8,W8ScreenPoint,exact,,,,,0x8,,,Local Code\UtilityFunctions.cpp,Exact 0x00517e70 proves signed x and y coordinates consumed against the four rectangle edges,00517e70 ScreenPointInRect
wiz8,W8Character,exact,,,,,0x1862,,,,The eight-slot party scans at 0x00517ec0 and 0x00517f30 independently advance by exactly 0x1862 bytes; the structure remains opaque here except for fields separately proven by canonical consumers,00517ec0 CharacterPointerToPartySlot and 00517f30 IsPartyCharacterPointer
wiz8,W8RPCSlot,exact,,,,,0x118,,,Local Code\UtilityFunctions.cpp,The byte-exact RPCPtrToPCSlot loop advances through eight records with an exact 0x118 stride and otherwise treats the records as opaque,00518310 RPCPtrToPCSlot
wiz8,W8RegionSet,exact,,,,,0xc,,,Local Code\RegionManager.cpp,Exact 0x004f21e0-0x004f22f0 and 0x004f2880 prove the 12-byte enabled/first/last layout,004f21e0-004f22f0 helpers and 004f2880 CreateRegionSet
wiz8,W8Region,exact,,,,,0x1c,,,Local Code\RegionManager.cpp,Exact 0x004f2380-0x004f2a30 prove the complete 28-byte flags geometry callback help and owner layout,004f2380-004f2a30 region helpers and their reviewed callers
wiz8,W8MonsterManagerState,exact,,004e6970,004e6940,,0x9c7,,,Local Code\MonsterManager.cpp,The global constructor at 0x004e6910 passes 0x006836b8 as this; the complete constructor and destructor prove eight W8MonsterManagerEntry elements followed by a polymorphic pointer vector at unaligned offset 0x9b7,004e6940-004e6970 exact constructor and destructor
wiz8,W8PList,exact,,,,,0x0c,,,3D Code\PList.cpp,"All twelve source-owned PList functions agree on data at 0x00, capacity at 0x04 and count at 0x08; Create allocates exactly 0x0c bytes",005e22c0-005e2c70 PList API
wiz8,W8WorldItem,exact,,,,,0xad,,,Local Code\LoadSaveGame.cpp,"Established by include/wiz8/item_spawning.h and proven by the byte-exact CreateWorldItem, SpawnItem and the LoadSaveGame.cpp serializers, which agree on the 0xad stride and on the link at 0x31 that the chain is walked and rebuilt through",004f6b90 CreateWorldItem; 004f6c50 SpawnItem; 00514be0 SaveItemFile; 00514c80 LoadItem
wiz8,stLight,strong,stLight.primary,,,,,,,Engine Code\Include\stLight.hpp,"Named by its own class registry: vtable 0x005ecc64 slot 0 returns the string ""stLight"" and slot 1 the class ID 0x10006. Independently corroborated by the relative assertion path Engine Code\Include\stLight.hpp recovered from the assertion harvest, so the name has two unrelated origins. Its two vtables are installed by eight distinct functions including GrCycle's copy constructor 0x004a5f20, so GrCycle owns or embeds one. Wizardry-registered classes use IDs from 0x10000 up, while SurRender's own sit near 0x1200-0x3110",
wiz8,W8World,strong,,,,,0xc8,,,Engine Code\3d.cpp,"plsProps at 0x08 is named and typed by the canonical assertion pWorld && pWorld->plsProps at 3d.cpp:344 and byte-proven by WorldUpdateProps; psrMeshes at 0x48 is named by the 3dapi.cpp:446 assertion but has no ported consumer and stays unproven; the monster-generator vector pointer at 0xc4 is placed by the structurally-strong FindMonGenByName accessor; no vtable, constructor or destructor identified",0046ded0 WorldUpdateProps (plsProps at 0x08 only)
wiz8,W8TargetSource,strong,,,,,0x1d,,,Local Code\Targeting.cpp,"iType/iChar/iMonsterID and the two flags are named by the canonical assertions at Targeting.cpp lines 3299, 3307, 3320 and 3328, which also pin BAD_INDEX to -1; the short-circuit || test order proves fReflection at 0x1b and fBackfire at 0x1c because swapping them reorders the emitted byte tests; iType reads 1 for character, 2 for monster and 3 for either",0053bea0 TargetSourceIsCharacter; 0053bf10 TargetSourceIsMonster
wiz8,W8Dialog005A80A0,exact,W8Dialog005A80A0.primary,005a80a0,005a8190,005a8170,0xa0,unnamed +0x0 base (ctor 005d25b0; dtor 005d2610; 0x98 bytes),address-qualified-positional,,"The constructor calls the base constructor 0x005d25b0 first, initializes its own two fields, then installs this vtable; the complete destructor 0x005a8190 restores the vtable and calls the base destructor 0x005d2610; vtable slot 0 at 0x005a8170 calls that complete destructor and conditionally frees, which is the scalar deleting destructor shape. Two of the three construction sites push exactly 0xa0 to operator new before calling the constructor, and the first own field sits at 0x98 - the same extent the base reaches when allocated standalone, so the two readings of the base size agree. The 15-slot count is bounded independently: 0x005eefa8 is referenced from eleven code sites and therefore starts another table. Behaviourally a modal dialog - the constructor loads Data\Dialogs\DialogBackground.sti through inherited setup methods, takes a message index into the table at 0x0068c09c, and registers region 0x138 that slot 9 clears on close","005a80a0 constructor (the complete 0xa0 layout: base extent 0x98, vptr at 0x0, and both own fields, which only line up under one arrangement); 005a8190 and 005a8170 destructor pair (independently re-proves the vptr and the base extent); 005a81a0 Close (notify_value_98 at 0x98 and notify_target at 0x9c, plus two base byte fields at 0x54 and 0x55)"
wiz8,W8DialogBase005D25B0,strong,W8DialogBase005D25B0.primary,005d25b0,005d2610,005d25f0,0x98,W8DialogBase005DC7A0 (ctor 005dc7a0; dtor 005dc860; 0x54 bytes),address-qualified-positional,,"The shared dialog base between W8DialogBase005DC7A0 and the concrete dialogs. Its fifteen slots are what derived dialogs inherit: W8Dialog005A80A0's table is identical except slot 0, each class's own scalar deleting destructor, and slot 9, which it overrides. The 0x98 extent has two independent readings - its own construction sites and the offset where W8Dialog005A80A0's first own field starts. The complete destructor dispatches its own slot 2 directly, which is what a virtual call during destruction compiles to",005d2610 and 005d25f0 destructor pair (vptr at 0x0 and the 0x98 base extent); 005d25b0 constructor is a near miss whose ten field offsets all agree
wiz8,W8StatInfoDialog005DFC70,strong,W8StatInfoDialog005DFC70.primary,005dfc70,005dfd20,005dfd00,0x14c,W8StatInfoDialogBase005DF880 (ctor 005df880; dtor 005dfd20; 0x140 bytes),address-qualified-positional,Dialog Code\StatInfoDialogs.cpp,"One of two attribute-info dialog twins whose constructors are the same body twice: they differ only in vtable, lookup tables (0x61e3a4 and 0x61e4fc) and assertion line (204). The source path and the parameter name uiIndex come from the class's own assertion uiIndex < ATTR_COUNT, which also pins ATTR_COUNT to seven - the attribute count W8Character carries. The constructor is byte-exact, which places the three tail fields; the complete destructor restores the shared base vtable 0x005efc88 rather than its own, because an empty derived destructor makes that store dead and VC6 drops it","005dfc70 constructor (m_value_140, m_value_144 and m_uiIndex at 0x140/0x144/0x148)"
wiz8,W8StatInfoDialog005E0180,strong,W8StatInfoDialog005E0180.primary,005e0180,005e0230,005e0210,0x14c,W8StatInfoDialogBase005DF880 (ctor 005df880; dtor 005dfd20; 0x140 bytes),address-qualified-positional,Dialog Code\StatInfoDialogs.cpp,"One of two attribute-info dialog twins whose constructors are the same body twice: they differ only in vtable, lookup tables (0x61e3c4 and 0x61e50c) and assertion line (278). The source path and the parameter name uiIndex come from the class's own assertion uiIndex < ATTR_COUNT, which also pins ATTR_COUNT to seven - the attribute count W8Character carries. The constructor is byte-exact, which places the three tail fields; the complete destructor restores the shared base vtable 0x005efc88 rather than its own, because an empty derived destructor makes that store dead and VC6 drops it","005e0180 constructor (m_value_140, m_value_144 and m_uiIndex at 0x140/0x144/0x148)"
wiz8,W8Object0043A910,strong,W8Object0043A910.primary,0043a910,0043ac60,0043ac40,0x34,W8ObjectBase00439550 (ctor 00439550; 0x14 bytes),address-qualified-positional,,"An engine object whose byte-exact constructor establishes the whole 0x34 layout: it copies the 0.1 rate global at 0x006068ec into the float at 0x1c, scales that member by ten thousand through ftol into the two equal integers at 0x14 and 0x18, and sets one and two into the floats at 0x20 and 0x24 with three cleared words following. Nothing in the image names it - the constructor sits in a gap between assertion-anchored units and references no naming string - so the name is qualified by its constructor address",0043a910 constructor (every field of the 0x34 object and the 0x14 base extent)
wiz8,W8WidgetBase005ED5BC,strong,W8WidgetBase005ED5BC.primary,,,004f3d90,0x1c,,,,"The 18-slot base of the widget family. Its teardown is a single function: VC6 folded the complete destructor into the scalar deleting destructor at 0x004f3d90, which vtable slot 0 points at, and the byte-exact port of that body establishes the flag at 0x5 and the region registration at 0x18 released through 0x004f23d0 unless it holds the -1 sentinel. The separate constructor is not identified yet: 0x004f4250 and 0x004f3f30 both write the derived table 0x005ed604 at offset 0, so neither is this class's own. The minimum size is only the extent the proven fields require",004f3d90 folded destructor (flag_5 at 0x5 and region_18 at 0x18)
wiz8,W8Control005ED654,strong,W8Control005ED654.primary,004f5450,,,0x24,W8ControlBase005ED664 (0x10 bytes; destructor implicit),address-qualified-positional,Local Code\Controls.cpp,"A control whose byte-exact constructor carries its base's construction inlined and embeds one growable-vector instantiation at +0x10 under a second vtable, the shape wiz8/vector.h describes rather than a private copy of the template. Construction order reads off the family map: the base table 0x005ed664 at +0, the vector's template table 0x005ed660 and its own 0x005ed65c at +0x10, then this class's table last. The base's destructor is implicit, which the match proves - a user-declared one gives the body an unwind frame the canonical lacks, because the vector's operator new can throw after the base is built. The unit comes from the constructor sitting inside the Controls.cpp interval","004f5450 constructor (base extent 0x10, the vector member at 0x10 and value_20 at 0x20)"
wiz8,W8Object005EBCFC,strong,W8Object005EBCFC.primary,,004218d0,004218b0,0x4,W8ObjectBase00439A00 (dtor 00439a00),address-qualified-positional,,"A one-slot polymorphic class whose whole teardown is what an empty derived destructor emits over a base with one: restore the class vtable, tail-jump to 0x00439a00. Both bodies are byte-exact. The image also holds an adjustor form at 0x00421890 - the same body behind add ecx, 0xc4 - so the class is embedded at +0xc4 of a larger object that is not recovered here. No extent beyond the vtable pointer is claimed: the census's 0x28 allocation hint rests on writer attribution the padding heuristic got wrong, since the site at 0x00421896 lies past the end of the function the census assigned it to",004218d0 and 004218b0 destructor pair (vptr at 0x0 and the base relationship)
wiz8,W8Object005EF894,strong,W8Object005EF894.primary,,005d1020,005d1030,0x4,W8ObjectBase004F3480 (dtor 004f3480; 53 callers),address-qualified-positional,,"One leaf of a wide family: its base destructor 0x004f3480 has fifty-three callers. The whole teardown is what an empty derived destructor emits over a base that has one, and both bodies are byte-exact. A scan of .text finds only six bodies of this shape in the image, so the pattern is close to exhausted rather than a seam worth mining. No constructor for the class is identified, so only the vtable pointer is claimed",005d1020 and 005d1030 destructor pair (vptr at 0x0 and the base relationship)
wiz8,W8Prop005EC1E0,strong,W8Prop005EC1E0.primary,,0044bec0,,0x3c,W8PropBase004B6B60 (dtor 004b6b60; 0x14 bytes),address-qualified-positional,Engine Code\Prop.cpp,"The byte-exact complete destructor releases four owned members and each release names the shape of what it owns: +0x14 and +0x28 go through vtable slot 0 with the deleting flag, so those types have virtual destructors; +0x20 is a null check and a bare operator delete, which is what a declared-but-empty destructor emits since a trivially destructible pointer skips the check entirely; +0x38 has its destructor called directly at 0x004b6ed0 and then operator delete, the non-virtual shape. The base extent is 0x14, where the first owned member starts. The unit comes from the body sitting inside the Prop.cpp interval","0044bec0 destructor (four owned members at 0x14, 0x20, 0x28 and 0x38, and the 0x14 base extent)"
wiz8,GDProp,strong,,004b6e00,004b6ed0,,0x58,,,Engine Code\GDProp.cpp,"Prop.cpp allocates exactly 0x58 bytes, calls 0x004b6e00 and stores the returned object at Prop+0x38. The exact complete destructor at 0x004b6ed0 releases five owned allocations. The same-object method at 0x004b6f30 carries GDProp.cpp assertions naming m_pGDSurfaces and m_pVertices at +0x1c and +0x20, while its allocation strides and count loads establish +0x14 and +0x18. The class has no vptr and is destroyed by a direct non-virtual call.","0044dea0 allocation and construction; 004b6ed0 exact destructor; 004b6f30 assertion-backed field layout"
wiz8,W8GrowableVector<W8VectorElement005ED094 *>,exact,W8GrowableVector<W8VectorElement005ED094 *>.primary,,,004b6d90,0x10,,,Engine Code\GrObject.cpp,"The sound-event instantiation of the shared growable vector. Its deleting destructor at 0x004B6D90 is byte-exact and folds the complete destructor in, releasing the element storage at +0x0c with a bare operator delete; the count, capacity and storage offsets are equally fixed by the byte-exact Add site inlined into 0x004B6BD0",004b6d90 deleting destructor and the inlined Add in 004b6bd0
wiz8,W8SoundEventVector005ED094,exact,W8SoundEventVector005ED094.primary,,004b6de0,004b6dc0,0x10,W8GrowableVector<W8VectorElement005ED094 *>,descriptive,Engine Code\GrObject.cpp,"A derived vector that adds no member and no override, which the byte-exact triple proves in an unobvious way: its complete destructor at 0x004B6DE0 stores the base vtable 0x005ED098 and not its own, because the derived store is immediately overwritten by the inlined base destructor with nothing in between that could observe it and VC6 drops it. The constructor cannot do the same - the allocator call sits between the two stores - which is why 0x004B6BD0 writes both tables and the teardown path writes only one","004b6dc0, 004b6de0 and the two vtable stores in 004b6bd0"
wiz8,W8GrObject005ED090,strong,W8GrObject005ED090.primary,,,004b6920,0x14,,,Engine Code\GrObject.cpp,"Owner of the sound-event list. The byte-exact 0x004B6BD0 fixes the list pointer at +0x10 and the vtable at +0x00; the remaining members come from the deleting destructor at 0x004B6920, which is attributed to this unit but is not yet ported because nothing recovered constructs the class and VC6 emits a vtable only where its class is constructed",
wiz8,W8GrowableVector<W8VectorElement005EBFB4 *>,exact,W8GrowableVector<W8VectorElement005EBFB4 *>.primary,,,0042a2e0,0x10,,,,"A growable-vector instantiation reached only through the derived class below. The byte-exact constructor at 0x0042A260 inlines this one, which fixes count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",0042a260 constructor and the 0042a2e0 deleting destructor
wiz8,W8Vector005EBFB4,exact,W8Vector005EBFB4.primary,0042a260,0042a2c0,0042a310,0x10,W8GrowableVector<W8VectorElement005EBFB4 *>,descriptive,,"The second family proving that a second vptr store means user-defined derivation. All four bodies are byte-exact, and the constructor differs from the single-store form at 0x004390F0 by exactly twelve bytes - the two extra six-byte vtable stores and nothing else. The complete destructor at 0x0042A2C0 stores the base table because its own store is dead against the inlined base destructor","0042a260, 0042a2c0, 0042a2e0 and 0042a310"
wiz8,W8GrowableVector<W8VectorElement005EC16C *>,exact,W8GrowableVector<W8VectorElement005EC16C *>.primary,,,00446200,0x10,,,,"A growable-vector instantiation reached only through the derived class below. The byte-exact constructor at 0x00446090 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",00446090 constructor and the 00446200 deleting destructor
wiz8,W8Vector005EC16C,exact,W8Vector005EC16C.primary,00446090,004460f0,00446230,0x10,W8GrowableVector<W8VectorElement005EC16C *>,descriptive,,"The third family of this shape and the first the tooling selected rather than a person. All four bodies are byte-exact on the same declarations as W8Vector005EBFB4, and the complete destructor at 0x004460F0 again stores the base table 0x005EC170 rather than the 0x005EC16C its own constructor installs","00446090, 004460f0, 00446200 and 00446230"
wiz8,W8GrowableVector<W8VectorElement005EC2B8 *>,exact,W8GrowableVector<W8VectorElement005EC2B8 *>.primary,,,00451b40,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x00451A40 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",00451a40 constructor and the 00451b40 deleting destructor
wiz8,W8Vector005EC2B8,exact,W8Vector005EC2B8.primary,00451a40,00451aa0,00451b70,0x10,W8GrowableVector<W8VectorElement005EC2B8 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x00451AA0 stores the base table 0x005EC2BC rather than the 0x005EC2B8 its own constructor installs, because that store is dead against the inlined base destructor","00451a40, 00451aa0, 00451b40 and 00451b70"
wiz8,W8GrowableVector<W8VectorElement005EC324 *>,exact,W8GrowableVector<W8VectorElement005EC324 *>.primary,,,004561c0,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x00456140 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",00456140 constructor and the 004561c0 deleting destructor
wiz8,W8Vector005EC324,exact,W8Vector005EC324.primary,00456140,004561a0,004561f0,0x10,W8GrowableVector<W8VectorElement005EC324 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x004561A0 stores the base table 0x005EC328 rather than the 0x005EC324 its own constructor installs, because that store is dead against the inlined base destructor","00456140, 004561a0, 004561c0 and 004561f0"
wiz8,W8GrowableVector<W8VectorElement005EC514 *>,exact,W8GrowableVector<W8VectorElement005EC514 *>.primary,,,00474de0,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x00474BE0 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",00474be0 constructor and the 00474de0 deleting destructor
wiz8,W8Vector005EC514,exact,W8Vector005EC514.primary,00474be0,00474c40,00474e10,0x10,W8GrowableVector<W8VectorElement005EC514 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x00474C40 stores the base table 0x005EC518 rather than the 0x005EC514 its own constructor installs, because that store is dead against the inlined base destructor","00474be0, 00474c40, 00474de0 and 00474e10"
wiz8,W8GrowableVector<W8VectorElement005ECA98 *>,exact,W8GrowableVector<W8VectorElement005ECA98 *>.primary,,,0048ced0,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x0048CDA0 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",0048cda0 constructor and the 0048ced0 deleting destructor
wiz8,W8Vector005ECA98,exact,W8Vector005ECA98.primary,0048cda0,0048ce00,0048cf00,0x10,W8GrowableVector<W8VectorElement005ECA98 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x0048CE00 stores the base table 0x005ECA9C rather than the 0x005ECA98 its own constructor installs, because that store is dead against the inlined base destructor","0048cda0, 0048ce00, 0048ced0 and 0048cf00"
wiz8,W8GrowableVector<W8VectorElement005ECAA0 *>,exact,W8GrowableVector<W8VectorElement005ECAA0 *>.primary,,,0048cf20,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x0048CE20 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",0048ce20 constructor and the 0048cf20 deleting destructor
wiz8,W8Vector005ECAA0,exact,W8Vector005ECAA0.primary,0048ce20,0048ce80,0048cf50,0x10,W8GrowableVector<W8VectorElement005ECAA0 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x0048CE80 stores the base table 0x005ECAA4 rather than the 0x005ECAA0 its own constructor installs, because that store is dead against the inlined base destructor","0048ce20, 0048ce80, 0048cf20 and 0048cf50"
wiz8,W8GrowableVector<W8VectorElement005ECAD0 *>,exact,W8GrowableVector<W8VectorElement005ECAD0 *>.primary,,,0048f210,0x10,,,,"A growable-vector instantiation reached through the derived class below. The byte-exact constructor at 0x0048F190 inlines this one, fixing count, capacity and storage at +0x04, +0x08 and +0x0c together with the clamp of the capacity parameter to at least one",0048f190 constructor and the 0048f210 deleting destructor
wiz8,W8Vector005ECAD0,exact,W8Vector005ECAD0.primary,0048f190,0048f1f0,0048f240,0x10,W8GrowableVector<W8VectorElement005ECAD0 *>,descriptive,,"A class deriving from the instantiation above and adding no member and no override. All four bodies are byte-exact, and the complete destructor at 0x0048F1F0 stores the base table 0x005ECAD4 rather than the 0x005ECAD0 its own constructor installs, because that store is dead against the inlined base destructor","0048f190, 0048f1f0, 0048f210 and 0048f240"
