evidence_id,program,address,origin,kind,reference,details
function-evidence:wiz8:00401ea0:sgp,wiz8,00401ea0,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; startup bring-up calls it directly
function-evidence:wiz8:00401f70:sgp,wiz8,00401f70,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00401f90:sgp,wiz8,00401f90,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; event-ring layout corroborates identity
function-evidence:wiz8:00402140:sgp,wiz8,00402140,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; repeat handling is inlined
function-evidence:wiz8:00402750:sgp,wiz8,00402750,sgp,identity-review,sgp/input.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00402760:sgp,wiz8,00402760,sgp,identity-review,sgp/input.c,VC6 SP5 body is byte-exact in every comparable build
function-evidence:wiz8:00404b50:sgp,wiz8,00404b50,sgp,identity-review,sgp/DEBUG.C,VC6 SP5 common project profile relocation-masked body exact in every comparable build; source eight-slot formatter ring and 55 callers corroborate identity
function-evidence:wiz8:00404bf0:sgp,wiz8,00404bf0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00404c40:sgp,wiz8,00404c40,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00404c80:formats,wiz8,00404c80,formats,identity-review,name_origin=sgp-source,Source name and complete body recovered from pinned SGP FileMan.c; opens a physical file or resolves a read-only member through the initialized SLF archive table; former descriptive name OpenVirtualFile
function-evidence:wiz8:00404c80:sgp,wiz8,00404c80,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name
function-evidence:wiz8:00404e10:formats,wiz8,00404e10,formats,identity-review,name_origin=descriptive,Closes a physical handle or releases an SLF-backed virtual-file slot
function-evidence:wiz8:00404ea0:formats,wiz8,00404ea0,formats,identity-review,name_origin=descriptive,Reads bytes from either a physical handle or an SLF archive entry and reports the completed byte count
function-evidence:wiz8:00404fb0:sgp,wiz8,00404fb0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405030:formats,wiz8,00405030,formats,identity-review,name_origin=sgp-source,Source name and complete body recovered from pinned SGP FileMan.c; seeks a physical handle or SLF-backed entry using origin values 1 2 and 4; former descriptive name SeekVirtualFile
function-evidence:wiz8:00405030:sgp,wiz8,00405030,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; supersedes descriptive name
function-evidence:wiz8:004051d0:sgp,wiz8,004051d0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004051f0:sgp,wiz8,004051f0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405200:sgp,wiz8,00405200,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405270:sgp,wiz8,00405270,sgp,identity-review,sgp/FileMan.c,Exact in four comparable modules; Wiz8New.exe differs by the reviewed fFindInfoInUse assignment byte
function-evidence:wiz8:00405300:sgp,wiz8,00405300,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405350:sgp,wiz8,00405350,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405390:sgp,wiz8,00405390,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004054d0:sgp,wiz8,004054d0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004054f0:sgp,wiz8,004054f0,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405550:sgp,wiz8,00405550,sgp,identity-review,sgp/FileMan.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405970:sgp,wiz8,00405970,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:004059b0:sgp,wiz8,004059b0,sgp,identity-review,sgp/Container.c,Source body collides with CreateQueue; list-sized callers and the retained list API establish CreateList in every comparable build
function-evidence:wiz8:00405a00:sgp,wiz8,00405a00,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405a70:sgp,wiz8,00405a70,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405ac0:sgp,wiz8,00405ac0,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405b00:sgp,wiz8,00405b00,sgp,identity-review,sgp/Container.c,VC6 folded the identical referenced stack and list delete bodies at one address in every comparable build
function-evidence:wiz8:00405b20:sgp,wiz8,00405b20,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00405b90:sgp,wiz8,00405b90,sgp,identity-review,sgp/Container.c,The identical generic body is used by a Wizardry list caller and the source marks StoreListNode as the Wizardry addition
function-evidence:wiz8:00405c00:sgp,wiz8,00405c00,sgp,identity-review,sgp/Container.c,VC6 folded the identical referenced stack and list size bodies at one address in every comparable build
function-evidence:wiz8:00405c10:sgp,wiz8,00405c10,sgp,identity-review,sgp/Container.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406b70:sgp,wiz8,00406b70,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; timer callback address is passed to SetTimer
function-evidence:wiz8:00406ba0:sgp,wiz8,00406ba0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build; startup bring-up calls it directly
function-evidence:wiz8:00406bd0:sgp,wiz8,00406bd0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406be0:sgp,wiz8,00406be0,sgp,identity-review,sgp/timer.c,Generic getter body resolved by source order between exact neighboring timer functions
function-evidence:wiz8:00406bf0:sgp,wiz8,00406bf0,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00406c00:sgp,wiz8,00406c00,sgp,identity-review,sgp/timer.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00408860:cfagent-oracle,wiz8,00408860,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_PlaySound English seed address verified by embedded expected bytes
function-evidence:wiz8:0040ef80:sgp,wiz8,0040ef80,sgp,identity-review,sgp/Random.c,VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build
function-evidence:wiz8:0040efa0:cfagent-oracle,wiz8,0040efa0,cfagent-oracle,identity-review,name_origin=fan-patch-signature|sgp-source,"CFAgent pW8FUNC_GetRandomNumber seed address, promoted by the exact SGP Random.c compile that names the body Random"
function-evidence:wiz8:0040efa0:sgp,wiz8,0040efa0,sgp,identity-review,sgp/Random.c,VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build; supersedes the CFAgent name for the same verified address
function-evidence:wiz8:0040efe0:sgp,wiz8,0040efe0,sgp,identity-review,sgp/Random.c,"VC6 SP5 /O2 /Ob2 /MD /G5 relocation-masked body exact in every unprotected build; Wizardry inlined Random into it, which plain /O2 does not do"
function-evidence:wiz8:0040f0b0:sgp,wiz8,0040f0b0,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f100:sgp,wiz8,0040f100,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f150:sgp,wiz8,0040f150,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f180:sgp,wiz8,0040f180,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f1c0:sgp,wiz8,0040f1c0,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f210:sgp,wiz8,0040f210,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f230:sgp,wiz8,0040f230,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f290:sgp,wiz8,0040f290,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f300:sgp,wiz8,0040f300,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f340:sgp,wiz8,0040f340,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f380:sgp,wiz8,0040f380,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f3c0:sgp,wiz8,0040f3c0,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:0040f3e0:sgp,wiz8,0040f3e0,sgp,identity-review,sgp/DirectDraw Calls.c,VC6 SP5 relocation-masked body exact
function-evidence:wiz8:004126f0:formats,wiz8,004126f0,formats,identity-review,name_origin=descriptive,Allocates six 0x28-byte archive states and opens configured SLF files through 0x00412bb0
function-evidence:wiz8:00412a10:formats,wiz8,00412a10,formats,identity-review,name_origin=descriptive,Closes or reopens each of six configured SLF archives and recreates optional file mappings
function-evidence:wiz8:00412b10:sgp,wiz8,00412b10,sgp,identity-review,sgp/LibraryDataBase.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00412bb0:formats,wiz8,00412bb0,formats,identity-review,name_origin=descriptive,Reads the 0x214-byte header then the EOF directory as file_count 0x118-byte records and builds 0x0c-byte live entries
function-evidence:wiz8:00413680:sgp,wiz8,00413680,sgp,identity-review,sgp/LibraryDataBase.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00413730:sgp,wiz8,00413730,sgp,identity-review,sgp/LibraryDataBase.c,VC6 SP5 common project profile raw body exact in every comparable build
function-evidence:wiz8:00413d00:sgp,wiz8,00413d00,sgp,identity-review,sgp/LibraryDataBase.c,VC6 SP5 common project profile relocation-masked body exact in every comparable build
function-evidence:wiz8:00415820:zlib,wiz8,00415820,zlib,identity-review,name_origin=sgp-source,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
function-evidence:wiz8:00415840:zlib,wiz8,00415840,zlib,identity-review,name_origin=sgp-source,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
function-evidence:wiz8:00415850:zlib,wiz8,00415850,zlib,identity-review,name_origin=sgp-source,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
function-evidence:wiz8:004158b0:zlib,wiz8,004158b0,zlib,identity-review,name_origin=sgp-source,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
function-evidence:wiz8:004158f0:zlib,wiz8,004158f0,zlib,identity-review,name_origin=sgp-source,Name and body recovered from pinned SGP Compression.c; relocation-masked VC6 SP5 body is exact
function-evidence:wiz8:00415910:zlib,wiz8,00415910,zlib,identity-review,name_origin=original-source,State writes and inflate_blocks_reset call match inflate.c exactly
function-evidence:wiz8:00415960:zlib,wiz8,00415960,zlib,identity-review,name_origin=original-source,Frees the block state and inflate state through the configured allocator
function-evidence:wiz8:004159c0:zlib,wiz8,004159c0,zlib,identity-review,name_origin=original-source,Checks version 1.0.4 and z_stream size then allocates the inflate state and block window
function-evidence:wiz8:00415ad0:zlib,wiz8,00415ad0,zlib,identity-review,name_origin=original-source,Exact wrapper call to inflateInit2_ with MAX_WBITS 15
function-evidence:wiz8:00415af0:zlib,wiz8,00415af0,zlib,identity-review,name_origin=original-source,Unique inflate state machine and exact 1.0.4 error strings
function-evidence:wiz8:00415f10:zlib,wiz8,00415f10,zlib,identity-review,name_origin=original-source,Patched-build boundary plus exact pending-buffer copy semantics from deflate.c
function-evidence:wiz8:00415f60:zlib,wiz8,00415f60,zlib,identity-review,name_origin=original-source,Patched-build boundary plus exact stored-block loop and _tr_flush_block calls
function-evidence:wiz8:00416070:zlib,wiz8,00416070,zlib,identity-review,name_origin=original-source,Patched-build boundary plus window slide and hash-chain maintenance from deflate.c
function-evidence:wiz8:00416180:zlib,wiz8,00416180,zlib,identity-review,name_origin=original-source,Patched-build boundary plus input copy and optional Adler update
function-evidence:wiz8:004161f0:zlib,wiz8,004161f0,zlib,identity-review,name_origin=original-source,Patched-build boundary plus fast match/tally loop and deflate helper call graph
function-evidence:wiz8:00416450:zlib,wiz8,00416450,zlib,identity-review,name_origin=original-source,Patched-build boundary plus exact hash-chain match search
function-evidence:wiz8:004165c0:zlib,wiz8,004165c0,zlib,identity-review,name_origin=original-source,Patched-build boundary plus lazy match/tally loop and deflate helper call graph
function-evidence:wiz8:004168b0:zlib,wiz8,004168b0,zlib,identity-review,name_origin=original-source,Resets block mode bit buffer window cursors and checksum exactly as infblock.c
function-evidence:wiz8:00416940:zlib,wiz8,00416940,zlib,identity-review,name_origin=original-source,Allocates the 0x3c-byte block state and caller-sized window then resets it
function-evidence:wiz8:004169b0:zlib,wiz8,004169b0,zlib,identity-review,name_origin=original-source,Unique block decoder state machine and exact 1.0.4 block error strings
function-evidence:wiz8:004177d0:zlib,wiz8,004177d0,zlib,identity-review,name_origin=original-source,Resets then frees the block window and block state
function-evidence:wiz8:00417810:zlib,wiz8,00417810,zlib,identity-review,name_origin=original-source,Passed as the inflate block checksum callback and implements the Adler-32 5552-byte chunk loop
function-evidence:wiz8:00417940:zlib,wiz8,00417940,zlib,identity-review,name_origin=original-source,Exact default allocator wrapper around calloc
function-evidence:wiz8:00417960:zlib,wiz8,00417960,zlib,identity-review,name_origin=original-source,Exact default deallocator wrapper around free
function-evidence:wiz8:00417970:zlib,wiz8,00417970,zlib,identity-review,name_origin=original-source,Zeros literal distance and bit-length frequencies and resets block counters
function-evidence:wiz8:004179e0:zlib,wiz8,004179e0,zlib,identity-review,name_origin=original-source,Builds canonical Huffman codes and calls bi_reverse
function-evidence:wiz8:00417a60:zlib,wiz8,00417a60,zlib,identity-review,name_origin=original-source,Emits the stored-block header then calls copy_block
function-evidence:wiz8:00417b20:zlib,wiz8,00417b20,zlib,identity-review,name_origin=original-source,Selects stored static or dynamic trees and resets the block
function-evidence:wiz8:00417d40:zlib,wiz8,00417d40,zlib,identity-review,name_origin=original-source,Constructs a Huffman heap then calls pqdownheap gen_bitlen and gen_codes
function-evidence:wiz8:00417f50:zlib,wiz8,00417f50,zlib,identity-review,name_origin=original-source,Exact heap restoration over tree frequencies and depth tie-breaking
function-evidence:wiz8:00418000:zlib,wiz8,00418000,zlib,identity-review,name_origin=original-source,Computes optimal bit lengths and repairs overflow
function-evidence:wiz8:004181e0:zlib,wiz8,004181e0,zlib,identity-review,name_origin=original-source,Scans literal and distance trees then builds the bit-length tree
function-evidence:wiz8:00418250:zlib,wiz8,00418250,zlib,identity-review,name_origin=original-source,Counts repeated code lengths into REP_3_6 REPZ_3_10 and REPZ_11_138 frequencies
function-evidence:wiz8:00418340:zlib,wiz8,00418340,zlib,identity-review,name_origin=original-source,Emits HLIT HDIST and HCLEN then calls send_tree for both trees
function-evidence:wiz8:004185a0:zlib,wiz8,004185a0,zlib,identity-review,name_origin=original-source,Emits repeated code lengths using the three repeat symbols
function-evidence:wiz8:00418b20:zlib,wiz8,00418b20,zlib,identity-review,name_origin=original-source,Records literal or match tokens and updates literal/distance frequencies
function-evidence:wiz8:00418c30:zlib,wiz8,00418c30,zlib,identity-review,name_origin=original-source,Encodes the token buffers with literal length and distance trees
function-evidence:wiz8:004190a0:zlib,wiz8,004190a0,zlib,identity-review,name_origin=original-source,Compares ASCII and binary literal frequencies to set the stream data type
function-evidence:wiz8:00419110:zlib,wiz8,00419110,zlib,identity-review,name_origin=original-source,Exact bit-reversal loop used by gen_codes
function-evidence:wiz8:00419140:zlib,wiz8,00419140,zlib,identity-review,name_origin=original-source,Flushes the remaining bit buffer and resets bi_buf and bi_valid
function-evidence:wiz8:004191a0:zlib,wiz8,004191a0,zlib,identity-review,name_origin=original-source,Winds up bits writes optional LEN/NLEN and copies the stored bytes
function-evidence:wiz8:00419230:zlib,wiz8,00419230,zlib,identity-review,name_origin=original-source,Calls huft_build with the 19-code bit-length alphabet and exact error strings
function-evidence:wiz8:00419290:zlib,wiz8,00419290,zlib,identity-review,name_origin=original-source,Only inftrees.c routine called by all three tree constructors with matching allocator/free behavior
function-evidence:wiz8:00419760:zlib,wiz8,00419760,zlib,identity-review,name_origin=original-source,Builds literal/length and distance trees and emits exact dynamic-tree errors
function-evidence:wiz8:00419850:zlib,wiz8,00419850,zlib,identity-review,name_origin=original-source,Lazily constructs the fixed 288-entry literal and 30-entry distance trees
function-evidence:wiz8:004199c0:zlib,wiz8,004199c0,zlib,identity-review,name_origin=original-source,Walks and frees the linked Huffman allocation chain
function-evidence:wiz8:00419a00:zlib,wiz8,00419a00,zlib,identity-review,name_origin=original-source,Allocates and initializes the 0x1c-byte inflate code state
function-evidence:wiz8:00419a40:zlib,wiz8,00419a40,zlib,identity-review,name_origin=original-source,Unique literal length distance decoder and exact invalid-code strings
function-evidence:wiz8:0041a340:zlib,wiz8,0041a340,zlib,identity-review,name_origin=original-source,Exact configured-allocator free wrapper for the code state
function-evidence:wiz8:0041a360:zlib,wiz8,0041a360,zlib,identity-review,name_origin=original-source,Shared 39-call-site output-window flush routine from infutil.c
function-evidence:wiz8:0041a4a0:zlib,wiz8,0041a4a0,zlib,identity-review,name_origin=original-source,Fast decoder reached from inflate_codes with the same invalid-code strings
function-evidence:wiz8:00421680:surrender-export,wiz8,00421680,surrender-export,identity-review,name_origin=original-export,"SR.DLL decorated exports and stream operator 0x10031970 prove srVector3T<float> and its contiguous x y z fields"
function-evidence:wiz8:00421680:cfagent-oracle,wiz8,00421680,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_3FloatsToVector English seed address verified by embedded expected bytes
function-evidence:wiz8:0042a6f0:cfagent-oracle,wiz8,0042a6f0,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_LoadLevel English seed address verified by embedded expected bytes
function-evidence:wiz8:0042b410:cfagent-oracle,wiz8,0042b410,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_GetLocationIDFromCode English seed address verified by embedded expected bytes
function-evidence:wiz8:0042b550:cfagent-oracle,wiz8,0042b550,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_LevelGetFolderNameByID English seed address verified by embedded expected bytes
function-evidence:wiz8:0042b580:cfagent-oracle,wiz8,0042b580,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_GetLoadedLevelID English seed address verified by embedded expected bytes
function-evidence:wiz8:0042bc10:formats,wiz8,0042bc10,formats,identity-review,name_origin=original-runtime-string,Embedded failure diagnostics identify ReadOctFile and enumerate its octree preregion mesh trigger and lookup sections
function-evidence:wiz8:0043d940:cfagent-oracle,wiz8,0043d940,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_RunTrigger English seed address verified by embedded expected bytes
function-evidence:wiz8:00443780:cfagent-oracle,wiz8,00443780,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_FindTriggerByName English seed address verified by embedded expected bytes
function-evidence:wiz8:00443dc0:cfagent-oracle,wiz8,00443dc0,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_CreateLocationVar English seed address verified by embedded expected bytes
function-evidence:wiz8:00444170:cfagent-oracle,wiz8,00444170,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_GetLocationVarIDByName English seed address verified by embedded expected bytes
function-evidence:wiz8:004456e0:cfagent-oracle,wiz8,004456e0,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_PrintNothingHappenOrSpecItemReq English seed address verified by embedded expected bytes
function-evidence:wiz8:00446110:surrender-export,wiz8,00446110,surrender-export,identity-review,name_origin=original-export,"SR.DLL stream operators 0x10031970 and 0x100319A0 prove the float and double srVector3T layouts converted by this body"
function-evidence:wiz8:00446110:cfagent-oracle,wiz8,00446110,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_Copy3DVector English seed address verified by embedded expected bytes
function-evidence:wiz8:00451280:cfagent-oracle,wiz8,00451280,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_GetWorld English seed address verified by embedded expected bytes
function-evidence:wiz8:004512c0:cfagent-oracle,wiz8,004512c0,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_FindEntityByName English seed address verified by embedded expected bytes
function-evidence:wiz8:00459540:formats,wiz8,00459540,formats,identity-review,name_origin=descriptive,OctPath.cpp writes a version-two WPT header followed by 0x10-byte waypoints and 0x0e-byte links
function-evidence:wiz8:00459650:formats,wiz8,00459650,formats,identity-review,name_origin=descriptive,OctPath.cpp reads WPT versions one and two then materializes the runtime adjacency and hash structures
function-evidence:wiz8:0048a7a0:formats,wiz8,0048a7a0,formats,identity-review,name_origin=descriptive,MonGen.cpp loads EncounterTables.dbs into 72 runtime tables with columnar species rarity time challenge and script-name data
function-evidence:wiz8:0048ad20:formats,wiz8,0048ad20,formats,identity-review,name_origin=original-runtime-string,The embedded diagnostic names MonGen GenerateEncounter and its canonical body rolls group size and two optional companion records
function-evidence:wiz8:0048b9a0:formats,wiz8,0048b9a0,formats,identity-review,name_origin=descriptive,Filters one encounter table by party challenge level weighted rarity and the recovered day night or any-time selector
function-evidence:wiz8:0048bdc0:cfagent-oracle,wiz8,0048bdc0,cfagent-oracle,identity-review,name_origin=fan-patch-signature,CFAgent pW8FUNC_FindMonGenByName English seed address verified by embedded expected bytes
function-evidence:wiz8:0048c110:formats,wiz8,0048c110,formats,identity-review,name_origin=original-runtime-string,The embedded diagnostic names MonGen LoadAll and the function restores encounter state then applies the current level's bounds
function-evidence:wiz8:0048c810:formats,wiz8,0048c810,formats,identity-review,name_origin=descriptive,Replenishes the current level's encounter budget by elapsed time and clamps both budget and active-encounter limit
function-evidence:wiz8:0048c8e0:formats,wiz8,0048c8e0,formats,identity-review,name_origin=descriptive,Compares active encounter ages with the configured culling time and removes sufficiently distant expired groups
function-evidence:wiz8:004a5e50:classes,wiz8,004a5e50,classes,identity-review,name_origin=original-source-path,Constructs base and secondary subobject then writes vtables 0x005ece78 and 0x005eceb8
function-evidence:wiz8:004a5f00:classes,wiz8,004a5f00,classes,identity-review,name_origin=original-source-path,Primary vtable slot zero calls 0x004a6610 then conditionally invokes operator delete
function-evidence:wiz8:004a5f20:classes,wiz8,004a5f20,classes,identity-review,name_origin=original-source-path,Copy constructor rebuilds the secondary subobject copies owned graphics state and installs both vtables
function-evidence:wiz8:004a6610:classes,wiz8,004a6610,classes,identity-review,name_origin=original-source-path,Restores both vtables releases owned cycle resources and destroys secondary and base subobjects
function-evidence:wiz8:004ac9d0:formats,wiz8,004ac9d0,formats,identity-review,name_origin=descriptive,Returns the target-type field at runtime offset 0x137 and optionally normalizes type one to zero
function-evidence:wiz8:004aca60:formats,wiz8,004aca60,formats,identity-review,name_origin=descriptive,The canonical casting failure path uses this target-type and spell-ID predicate to decide whether a failed spell can backfire
function-evidence:wiz8:004acb40:formats,wiz8,004acb40,formats,identity-review,name_origin=descriptive,Maps spell levels one through seven to minimum caster levels 1 3 5 8 11 14 and 18
function-evidence:wiz8:004acba0:formats,wiz8,004acba0,formats,identity-review,name_origin=descriptive,Loads a spell's level and returns the corresponding minimum caster level
function-evidence:wiz8:004acc10:formats,wiz8,004acc10,formats,identity-review,name_origin=descriptive,Reads the count and version from SpellTables.dbs then skips 0x101 and loads 0x1bf bytes for each spell
function-evidence:wiz8:004bea20:classes,wiz8,004bea20,classes,identity-review,name_origin=original-source-path,Constructs three 0x1b0-byte arrays initializes fields through 0x624 and writes vtable 0x005ed200
function-evidence:wiz8:004beba0:classes,wiz8,004beba0,classes,identity-review,name_origin=original-source-path,Vtable slot zero calls 0x004bee50 then conditionally invokes operator delete
function-evidence:wiz8:004bebd0:classes,wiz8,004bebd0,classes,identity-review,name_origin=original-source-path,Copy constructor rebuilds the same three arrays copies state from its source argument and writes vtable 0x005ed200
